annee,naissances,pHMariage
1994,740774,37.2
1995,759058,38.6
1996,764028,39.9
1997,757384,41
1998,767906,41.7
1999,775796,42.7
2000,807405,43.6
2001,803234,44.7
2002,792745,45.2
2003,793044,46.2
2004,799361,47.4
2005,806822,48.4
2006,829352,50.5
2007,818705,51.7
2008,828404,52.5
2009,824641,53.7
2010,832799,54.9
2011,823394,55.8
2012,821047,56.7
2013,811510,57.2
2014,818565,58.5
2015,798948,59.1
2016,783640,59.7
2017,769553,59.9
2018,758590,60.4
2019,753383,61
2020,735196,62.2
2021,742052,63.5
2022,725997,65.2
2023,677803,58.5
