Paysdenaissance,PaysdenaissanceEn,n2013,p2013,n2023,p2023
Portugal,Portugal,607,10.4,577,7.9
Italie,Italy,289,5,283,3.9
Espagne,Spain,246,4.2,231,3.2
Autres pays de l’Union Européenne,Other countries of European Union,710,12.2,638,8.800000000000001
Autres pays d’Europe,Other countries of Europe,,4.7,624,8.6
Algérie,Algeria,760,13,892,12.2
Maroc,Morocco,710,12.2,853,11.7
Tunisie,Tunisia,259,4.4,347,4.8
Autres pays d’Afrique,Other countries of Africa,811,13.9,1382,19
Turquie,Turkey,249,4.3,239,3.3
Autres pays,Other countries,920,15.8,1217,16.7
Ensemble,Total,5835,100,7282,100
