annee,age1,age2,age3,age31,age32
1991,27.73223329012536,53.22081185982154,19.04695485005311,13.96810594210189,6.562119322475832
1992,27.3733744090124,53.36650137677645,19.26012421421115,14.18921201886175,6.360297632095426
1993,27.00392928009484,53.51937050501697,19.47670021488819,14.40122121928834,6.194684761955931
1994,26.65276871062823,53.7018243602425,19.64540692912928,14.62189392439763,6.075395838742516
1995,26.40054431319047,53.75423386988962,19.8452218169199,14.85123027733013,6.042324790462144
1996,26.26789468891512,53.74849802259849,19.98360728848639,15.09610781023542,6.306508908027316
1997,26.17793413589416,53.71145387198514,20.11061199212071,15.3071399480027,6.546056211959097
1998,26.04368124413777,53.73594974249052,20.22036901337171,15.51666164240488,6.755439253786857
1999,25.93836617189208,53.74806655692991,20.31356727117802,15.66972122742729,6.948748862014018
2000,25.82567802849699,53.77990898746697,20.39441298403603,15.81879300557033,7.113286391998433
2001,25.68214125665947,53.90519517024631,20.41266357309422,15.92898326441741,7.288815601739442
2002,25.54302699337152,54.06910018999734,20.38787281663114,16.04217116637645,7.46317304843018
2003,25.4106016705802,54.14438851689221,20.44500981252759,16.13274158931406,7.624777938287103
2004,25.35534735134318,54.10890500149218,20.53574764716464,16.19668111043632,7.772473022227315
2005,25.2649790005783,54.04378413020758,20.69123686921411,16.31395567361395,7.963144010707257
2006,25.14437309069016,54.02489917207605,20.8307277372338,16.35524303542818,8.165087910054671
2007,25.03871577493892,53.73184787775102,21.22943634731007,16.32430717339702,8.335365543990166
2008,24.93499289944027,53.3674185423535,21.69758855820623,16.38660158392207,8.503412948019538
2009,24.84632957258046,52.99193680069047,22.16173362672908,16.49578645351414,8.630506418679875
2010,24.77914678977844,52.61675219571733,22.60410101450423,16.60921351991124,8.759016518347819
2011,24.69956909695165,52.23830571015841,23.06212519288994,16.7386291184506,8.866024264862151
2012,24.59657841272517,51.94732423927988,23.45609734799496,17.1393214301365,8.958028557427349
2013,24.54989842408626,51.59933333695317,23.85076823896058,17.56759683510452,9.021221706369197
2014,24.63953283541967,51.20320196360873,24.15726520097159,17.96328005321545,9.064261033447451
2015,24.63038610238285,50.81550684693505,24.5541070506821,18.40916812021934,9.141529069409872
2016,24.55177418254185,50.50119255774302,24.94703325971514,18.9,9.162714183498268
2017,24.4350049769012,50.18799696566722,25.37699805743158,19.29022826414438,9.203036573162784
2018,24.35068707070629,49.9272549194899,25.72205800980381,19.65423744590766,9.231522154704702
2019,24.21543810220176,49.68936623760136,26.09519566019688,20.01523328487614,9.321751580355176
2020,24.04042297178977,49.47143205591187,26.48814497229835,20.37872923118212,9.409817494626854
2021,23.81091234776986,49.42697020762679,26.76211744460334,20.63151280754442,9.424054868177423
2022,23.58140638626033,49.40480565978884,27.01378795395083,20.8741460336728,9.674700225346069
2023*,23.3858802326557,49.32816069939371,27.2859590679506,21.13173471262424,9.970884482423473
2024*,23.17466135379926,49.18175235315551,27.64358629304523,21.43438389764918,10.31467716054225
2025*,22.93408020707809,49.05139981543202,28.01451997748989,21.75429049423592,10.65117759455727
