annee,mariageSexeDiff,mariagesTot,pacs,provisoireM,provisoireP
1990,294690,,,,
1991,287897,,,,
1992,279338,,,,
1993,262696,,,,
1994,260866,,,,
1995,261813,,,,
1996,287144,,,,
1997,291163,,,,
1998,278525,,,,
1999,293544,,6151,,
2000,305234,,22271,,
2001,295720,,19629,,
2002,286169,,25305,,
2003,282756,,31570,,
2004,278439,,40080,,
2005,283036,,60462,,
2006,273914,,77347,,
2007,273669,,101992,,
2008,265404,,145938,,
2009,251478,,174584,,
2010,251654,,205561,,
2011,236826,,152169,,
2012,245930,,160639,,
2013,231225,238592,168682,,
2014,230770,241292,173731,,
2015,228565,236316,188947,,
2016,225612,232725,191537,,
2017,226671,233915,195633,,
2018,228349,234735,208871,,Provisoire
2019,218468,224740,196370,,Provisoire
2020,149983,154581,173894,,Provisoire
2021,212413,218819,209461,,Provisoire
2022,234841,241710,209827,,Provisoire
2023,235000,242000,,Provisoire,Provisoire
