age,sH,eH,sF,eF,sTot,eTot
0,100000,79.18040000000001,100000,85.13890000000001,100000,82.0881
1,99581,78.5117,99650,84.4359,99615,81.4037
5,99510,74.56619999999999,99590,80.486,99549,77.4563
10,99466,69.5981,99557,75.5117,99511,72.4853
15,99415,64.6327,99518,70.5403,99465,67.5172
20,99255,59.7316,99443,65.5913,99347,62.5939
25,98964,54.9001,99334,60.6605,99144,57.7166
30,98623,50.0807,99206,55.7357,98908,52.8486
35,98193,45.2885,99025,50.8327,98599,48.0058
40,97589,40.5524,98757,45.9632,98159,43.209
45,96725,35.8911,98327,41.1524,97507,38.4802
50,95387,31.357,97632,36.4262,96482,33.8602
55,93267,27.0089,96498,31.8228,94844,29.3991
60,90058,22.8763,94834,27.3346,92389,25.1095
65,85228,19.0226,92375,22.9915,88716,21.0393
70,78574,15.4129,88906,18.7863,83616,17.1633
75,69977,11.986,83937,14.7414,76790,13.4558
80,58390,8.843500000000001,76148,10.9744,67056,10.0244
85,42813,6.1085,63175,7.6733,52750,7.023
90,23612,4.0139,42941,5.0422,33044,4.666
95,7519,2.6791,19097,3.2731,13169,3.0995
99,1703,2.1457,6127,2.3975,3862,2.3406
100,1083,2.0885,4257,2.2312,2632,2.2011
101,657,2.1188,2832,2.1017,1719,2.105
102,381,2.2917,1815,1.9992,1081,2.0519
103,222,2.572,1120,1.9301,660,2.0407
104,132,2.9805,664,1.9133,392,2.0978
