annee,n,cause
1745,296,
1755,277,
1765,281.5,
1775,273,
1785,278,
1795,254,
1806,188.97301,
1807,199.17799,
1808,193.95399,
1809,183.229,
1810,185.313,
1811,188.40199,
1812,181.164,
1813,185.17599,
1814,200.81,
1815,187.056,
1816,177.362,
1817,178.87801,
1818,180.87399,
1819,189.23199,
1820,183.873,
1821,184.493,
1822,197.763,
1823,179.75,
1824,189.80099,
1825,196.901,
1826,194.35699,
1827,180.065,
1828,187.748,
1829,174.892,
1830,181.145,
1831,174.936,
1832,181.62601,
1833,174.427,
1834,209.03999,Cholera
1835,174.92,
1836,167.69,
1837,167.98801,
1838,169.408,
1839,159.28999,
1840,161.60699,
1841,157.539,
1842,166.319,
1843,156.381,
1844,153.446,
1845,144.07401,
1846,170.233,
1847,158.567,
1848,159.86501,
1849,172.685,
1850,145.158,
1851,162.52299,
1852,161.79401,
1853,148.409,
1854,179.01801,
1855,174.08501,
1856,169.841,
1857,184.354,
1858,176.95399,
1859,214.815,Cholera
1860,149.174,
1861,191.08299,
1862,162.201,
1863,179.565,
1864,173.093,
1865,190.673,
1866,161.58299,
1867,171.10201,
1868,190.349,
1869,176.653,
1870,205.77,
1871,226.567,Suite de la guerre de 1870
1872,159.379,
1873,177.61099,
1874,158.38699,
1875,169.311,
1876,165.867,
1877,156.82201,
1878,168.978,
1879,157.37399,
1880,178.728,
1881,166.131,
1882,164.591,
1883,164.793,
1884,176.619,
1885,160.51801,
1886,172.388,
1887,160.082,
1888,163.849,
1889,154.92101,
1890,172.847,
1891,162.071,
1892,180.71899,
1893,173.701,
1894,156.31,
1895,176.80299,
1896,149.071,
1897,151.34599,
1898,167.601,
1899,169.73399,
1900,163.312,
1901,147.338,
1902,139.472,
1903,140.731,
1904,148.452,
1905,138.72099,
1906,146.27901,
1907,133.536,
1908,132.44501,
1909,121.296,
1910,114.345,
1911,155.089,Eté très chaud
1912,111.475,
1913,116.138,
1914,113.574,
1915,111.691,
1916,128.998,
1917,134.757,
1918,149.38901,Grippe espagnole
1919,141.414,
1920,116.625,
1921,118.832,
1922,89.113998,
1923,100.162,
1924,89.264,
1925,92.787003,
1926,100.235,
1927,87.166,
1928,94.783997,
1929,98.514,
1930,82.762001,
1931,78.43,
1932,80.529999,
1933,77.434998,
1934,73.698997,
1935,71.244003,
1936,70.896004,
1937,69.527,
1938,69.666,
1939,68.216003,
1940,89.501999,
1941,79.598,
1942,75.980003,
1943,80.919998,
1944,81.833,
1945,112.579,Suite de la guerre de 1939-1945
1946,77.549004,
1947,70.084999,
1948,55.473999,
1949,59.306999,
1950,51.146,
1951,49.766998,
1952,44.800999,
1953,41.219002,
1954,40.417999,
1955,38.073002,
1956,35.721001,
1957,33.333,
1958,31.181999,
1959,29.087999,
1960,27.139,
1961,25.392,
1962,25.424999,
1963,25.267,
1964,23.059999,
1965,21.541,
1966,21.368999,
1967,20.431999,
1968,20.132999,
1969,19.393999,
1970,18.152,
1971,17.006001,
1972,15.92,
1973,15.118,
1974,14.494,
1975,13.467,
1976,12.59,
1977,11.576,
1978,10.634,
1979,10.164,
1980,10.203,
1981,9.7790003,
1982,9.4379997,
1983,9.0530005,
1984,8.427,
1985,8.375,
1986,8.0889997,
1987,7.8530002,
1988,7.9099998,
1989,7.5830002,
1990,7.388,
1991,7.2989998,
1992,6.8410001,
1993,6.46,
1994,5.9390001,
1995,4.9099998,
1996,4.8039999,
1997,4.7540002,
1998,4.5430002,
1999,4.342,
2000,4.4099998,
2001,4.46,
2002,4.0900002,
2003,4.0100002,
2004,3.8900001,
2005,3.5799999,
2006,3.6500001,
2007,3.5899999,
2008,3.5899999,
2009,3.6600001,
2010,3.47,
2011,3.28,
2012,3.3399999,
2013,3.47,
2014,3.3299999,
2015,3.49,
2016,3.46,
2017,3.6099999,
2018,3.6300001,
2019,3.5599999,
2020,3.3699999,
2021,3.4300001,
2022,3.71,
2023,3.74,
2024,3.8399999,
