periode,taux,plus
1901-1906,1.810377951855457,+
1906-1911,2.011810931856761,+
1911-1921,-1.165184814283848,
1921-1926,7.337506495063817,+
1926-1931,5.122329153713689,+
1931-1936,-.304859664339463,
1936-1946,-2.626207753252952,
1946-1954,8.349668000171562,+
1954-1962,9.955246076658986,+
1962-1968,11.51505463507019,+
1968-1975,8.067665201832774,+
1975-1982,4.646829865248892,+
1982-1990,5.067038699962945,+
1990-1999,3.71498670617032,+
1999-2004,6.772940395329829,+
2004-2009,6.399671440738164,+
2009-2014,4.951835807286642,+
2014-2019,3.317084894046918,+
2019-2024 *,3.19320738987372,+
